Residuals - Global Payments - TSYS (May 2025)

Merchant ID,Merchant,Transactions,Sales Amount,Income,Expenses,Net,BPS,%,Agent Net,Approval Date,Group,Reward Program,Incentco One-Time Flat Rate Award,Incentco Flat Rate for Rewards,Basis Points for Rewards 
5436845560030586,"ADULT AND GERIATRIC CEN",50,2126.81,67.69,6.77,60.92,2.86,0.00,0.00,08/18/2023,"CoCard 0827",,,,
5436845560052754,"BEDFORD CAMERA AND VIDE",1,24.95,20.87,2.09,18.78,75.27,0.00,0.00,09/20/2023,"CoCard 0827",,,,
5436845560052739,"BEDFORD CAMERA AND VIDE",795,148583.47,473.26,47.33,425.93,0.29,0.00,0.00,09/20/2023,"CoCard 0827",,,,
5436845560052697,"BEDFORD CAMERA AND VIDE",814,210960.13,612.03,61.20,550.83,0.26,0.00,0.00,09/22/2023,"CoCard 0827",,,,
5436845560052671,"BEDFORD CAMERA AND VIDE",1217,266855.35,750.36,75.04,675.32,0.25,0.00,0.00,09/20/2023,"CoCard 0827",,,,
5436845560052655,"BEDFORD CAMERA AND VIDE",1113,189246.01,723.93,72.39,651.54,0.34,0.00,0.00,09/22/2023,"CoCard 0827",,,,
5436845560052705,"BEDFORD CAMERA AND VIDE",1154,301473.32,815.33,81.53,733.80,0.24,0.00,0.00,09/20/2023,"CoCard 0827",,,,
5436845560166422,"CORRIDOR ENDODONTICS",59,29072.70,283.79,28.38,255.41,0.88,0.00,0.00,03/07/2024,"CoCard 0827",,,,
5436845560166414,"CORRIDOR ENDODONTICS",161,58920.08,528.12,52.81,475.31,0.81,0.00,0.00,03/07/2024,"CoCard 0827",,,,
5436845560124900,"CORRIDOR ENDODONTICS LL",242,87497.24,769.69,76.97,692.72,0.79,0.00,0.00,01/10/2024,"CoCard 0827",,,,
5436845559813091,"DREAMLINE MFG INC",22,17642.52,35.64,3.56,32.08,0.18,0.00,0.00,10/11/2022,"CoCard 0827",,,,
5436845560000456,"EDWARD G MACKAY LARGO",88,13661.93,126.69,12.67,114.02,0.83,0.00,0.00,07/24/2023,"CoCard 0827",,,,
5436845560000381,"EDWARD G MACKAY MD ASSO",318,149191.35,955.90,95.59,860.31,0.58,0.00,0.00,07/24/2023,"CoCard 0827",,,,
5436845560000514,"EDWARD G MACKAY ST PETE",163,44319.25,316.03,31.60,284.43,0.64,0.00,0.00,07/24/2023,"CoCard 0827",,,,
5436845559568000,GYROTONIC,48,335329.75,1708.12,170.81,1537.31,0.46,0.00,0.00,10/12/2021,"CoCard 0827",,,,
5436845559915896,"MANNE FOUNDATION HOMELE",0,0.00,18.45,1.85,16.60,0.00,0.00,0.00,03/15/2023,"CoCard 0827",,,,
5436845559997043,"NATURES MARKET AND RV P",1086,39639.84,532.06,53.21,478.85,1.21,0.00,0.00,06/29/2023,"CoCard 0827",,,,
