Residuals - Merchant Lynx (May 2025)

Merchant ID,Merchant,Transactions,Sales Amount,Income,Expenses,Net,BPS,%,Agent Net,Approval Date,Group 
924600888801573,"CHESAPEAKE MOTEL",342,48863.62,1788.76,1448.60,340.16,0.70,0.00,0.00,05/10/2023,"CoCard 0827"
924600888801896,"COASTAL MARINE & SMALL EN",1,1484.24,-107.20,41.68,-148.88,-10.03,0.00,0.00,06/02/2023,"CoCard 0827"
924600888802175,"CPH FAMILY MEDICAL CARE",64,8150.72,449.32,269.13,180.19,2.21,0.00,0.00,06/28/2023,"CoCard 0827"
924600888801557,"CROSSWAY MOTEL",185,18288.77,534.81,396.79,138.02,0.75,0.00,0.00,05/10/2023,"CoCard 0827"
924600888802043,"DC ACCOUNTING SERVICE PA",3,2173.39,157.39,112.71,44.68,2.06,0.00,0.00,06/20/2023,"CoCard 0827"
924600888802704,"DOBBS FUNERAL HOME",0,0.00,116.65,83.49,33.16,0.00,0.00,0.00,08/25/2023,"CoCard 0827"
924600888802217,"EAST JOHNSON COUNTY WATER",44,3719.09,264.34,159.03,105.31,2.83,0.00,0.00,06/30/2023,"CoCard 0827"
924600888800237,"FENIX CIGARS",113,5423.74,275.69,194.32,81.37,1.50,0.00,0.00,12/07/2022,"CoCard 0827"
924600888000333,FLEAS-N-TIQUES,6,130.96,-97.39,31.44,-128.83,-98.37,0.00,0.00,04/01/2024,"CoCard 0827"
924600888801797,"HANDCRAFT CUSTOM DRY CLEA",267,24313.13,1064.49,795.01,269.48,1.11,0.00,0.00,05/24/2023,"CoCard 0827"
924600888803041,"HAPPY STOP LLC",3436,57091.65,2352.23,1680.28,671.95,1.18,0.00,0.00,09/27/2023,"CoCard 0827"
924600888802407,"J & J ANTIQUES & STUFF",32,1480.04,183.39,136.80,46.59,3.15,0.00,0.00,07/19/2023,"CoCard 0827"
924600999136805,"KEYS FRESH SEAFOOD LLC",3,2639.26,210.90,145.20,65.70,2.49,0.00,0.00,04/12/2023,"CoCard 0827"
924600888802076,"LOVE AND LIGHT HEALING",1,103.99,13.99,18.89,-4.90,-4.71,0.00,0.00,06/21/2023,"CoCard 0827"
924600888802712,"MARINA AT FACTORY BAY ASS",29,8365.95,414.57,317.12,97.45,1.16,0.00,0.00,08/28/2023,"CoCard 0827"
924600888800898,"ORNAMENTAL COLUMNS & STAT",24,7076.54,393.11,240.08,153.03,2.16,0.00,0.00,03/16/2023,"CoCard 0827"
924600888802522,"PIEROGI POLISH MARKET INC CLOSED",0,0.00,121.64,82.35,39.29,0.00,0.00,0.00,08/09/2023,"CoCard 0827"
924600888800906,"PRANA SPA CLOSED",0,0.00,126.59,98.78,27.81,0.00,0.00,0.00,03/16/2023,"CoCard 0827"
924600888800864,"RICHMOND GYMNASTICS TRAIN",158,11182.01,439.04,255.51,183.53,1.64,0.00,0.00,03/15/2023,"CoCard 0827"
924600888802878,"SLICE OF PARADISE OF THE",469,19585.39,883.14,638.41,244.73,1.25,0.00,0.00,09/13/2023,"CoCard 0827"
924600888802688,"SPANISH WELLS COMMUNITY A",17,570.68,45.62,38.60,7.02,1.23,0.00,0.00,08/24/2023,"CoCard 0827"
924600888802100,"SUTTON BRICK AND STONE, I",7,8861.64,446.23,381.29,64.94,0.73,0.00,0.00,06/22/2023,"CoCard 0827"
924600888800872,"THE NEXT STEP DANCE STUDI",29,3490.99,143.93,84.44,59.49,1.70,0.00,0.00,03/15/2023,"CoCard 0827"
4783790999009475,"VISTA BEAUTY BAR",5,834.15,20.96,23.06,-2.10,-0.25,0.00,0.00,10/06/2023,"CoCard 0827"
