Residuals - Clearent (June 2025)

Merchant ID,Merchant,Transactions,Sales Amount,Income,Expenses,Net,BPS,%,Agent Net,Approval Date,Group 
6588000002455723,"A-1 CHIMNEY PRO, INC.",0,0.00,64.95,39.12,25.83,0.00,0.00,0.00,10/06/2023,"CoCard 0827"
6588000002375111,"Acunto Landscape & Design",16,3471.19,207.14,96.92,110.22,3.18,0.00,0.00,06/13/2023,"CoCard 0827"
6588000002406122,"AISD DIck Bivins Stadium",0,0.00,33.95,26.84,7.11,0.00,0.00,0.00,07/26/2023,"CoCard 0827"
6588000002315901,"Alcoa Pines Health and Rehabilitation",2,1663.84,79.84,55.95,23.89,1.44,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002578847,"ALL FIRE SERVICES, INC",61,167103.55,5564.09,5195.77,368.32,0.22,0.00,0.00,04/11/2024,"CoCard 0827"
6588000002730778,"ALL RITE PAVING CONTRACTORS",3,3870.00,200.89,129.49,71.40,1.84,0.00,0.00,06/17/2024,"CoCard 0827"
6588000002695146,"AMARILLO AREA BAR ASSOCIATION",0,0.00,24.95,21.35,3.60,0.00,0.00,0.00,04/25/2024,"CoCard 0827"
6588000002406908,"Amarillo High School Amarillo ISD",0,0.00,33.95,9.79,24.16,0.00,0.00,0.00,07/26/2023,"CoCard 0827"
6588000002437424,"Amarillo ISD AHS Food Service",0,0.00,8.95,6.30,2.65,0.00,0.00,0.00,09/14/2023,"CoCard 0827"
6588000002437440,"Amarillo ISD Caprock High School Food Service",0,0.00,8.95,6.30,2.65,0.00,0.00,0.00,09/14/2023,"CoCard 0827"
6588000002437507,"Amarillo ISD Palo Duro Food Service",2,269.60,19.02,15.29,3.73,1.38,0.00,0.00,09/14/2023,"CoCard 0827"
6588000002437051,"Amarillo ISD Tascosa High Food Service",0,0.00,8.95,19.80,-10.85,0.00,0.00,0.00,09/14/2023,"CoCard 0827"
6588000002318020,"Amberwood Health and Rehabilitation",2,45.36,17.74,13.61,4.13,9.10,0.00,0.00,05/01/2023,"CoCard 0827"
6588000002788842,AMTECH,0,0.00,33.90,22.25,11.65,0.00,0.00,0.00,10/11/2024,"CoCard 0827"
6588000002347672,"Aqua Vista Pool & Spa LLC",23,3112.95,123.31,85.11,38.20,1.23,0.00,0.00,05/10/2023,"CoCard 0827"
6588000002516185,"ARKANSAS SELECT TAX SERVICES",0,0.00,25.00,10.56,14.44,0.00,0.00,0.00,12/20/2023,"CoCard 0827"
6588000002516151,"ARKANSAS SELECT TAX SERVICES, INC.",10,2763.00,70.71,43.04,27.67,1.00,0.00,0.00,12/20/2023,"CoCard 0827"
6588000002482180,"ASHFORD AUTO DETAIL",1,337.97,72.87,50.60,22.27,6.59,0.00,0.00,11/02/2023,"CoCard 0827"
6588000002406882,"Athletic Building Amarillo ISD",0,0.00,33.95,23.29,10.66,0.00,0.00,0.00,07/26/2023,"CoCard 0827"
6588000002318202,"Bailey Creek Health & Rehab",1,1012.86,56.86,37.61,19.25,1.90,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002318244,"Beebe Retirement Center",3,8211.05,331.06,238.51,92.55,1.13,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002534683,"BEN AUTO TECHNICIAN",13,5357.34,244.11,141.29,102.82,1.92,0.00,0.00,01/26/2024,"CoCard 0827"
6588000002535292,"BIG PINE FLOWER SHOP",17,4487.49,237.13,104.85,132.28,2.95,0.00,0.00,01/25/2024,"CoCard 0827"
6588000002318269,"Birch Pointe Health and Rehabilitation",3,1674.24,80.24,48.53,31.71,1.89,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002435956,"BLU SUSHI",2033,152135.01,5195.37,3314.38,1880.99,1.24,0.00,0.00,10/17/2023,"CoCard 0827"
6588000002418804,"Blue Martini Galleria",2941,214328.50,4356.87,4022.32,334.55,0.16,0.00,0.00,08/24/2023,"CoCard 0827"
6588000002406916,"Caprock High School Amarillo ISD",0,0.00,33.95,9.79,24.16,0.00,0.00,0.00,07/26/2023,"CoCard 0827"
6588000002318343,"Care Manor Nursing and Rehab",2,155.99,21.99,15.82,6.17,3.96,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002318392,"Chambers Health and Rehabilitation",1,26.00,17.00,13.15,3.85,14.81,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002318400,"Chapel Woods Health and Rehabilitation",0,0.00,16.00,12.45,3.55,0.00,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002774776,"CITY OF PORT ST JOE",0,0.00,24.95,21.35,3.60,0.00,0.00,0.00,09/13/2024,"CoCard 0827"
6588000002765600,"COFFEY TIRE & BRAKE INC",188,57244.87,1156.22,958.10,198.12,0.35,0.00,0.00,08/26/2024,"CoCard 0827"
6588000002843258,"COMBUSTION DRIVEN REPAIRS",0,0.00,74.90,42.46,32.44,0.00,0.00,0.00,02/11/2025,"CoCard 0827"
6588000002518579,"COMPANIONS CLOTHIER CLOSED",53,15997.18,392.19,315.83,76.36,0.48,0.00,0.00,01/03/2024,"CoCard 0827"
6588000002495737,"CONWAY COLLISION CENTER",54,98530.45,2959.60,2721.15,238.45,0.24,0.00,0.00,11/17/2023,"CoCard 0827"
6588000002463529,"CONWAY DUMPSTER RENTAL",3,1084.77,86.57,53.32,33.25,3.07,0.00,0.00,10/10/2023,"CoCard 0827"
6588000002318434,"Corning Therapy and Living Center",0,0.00,16.00,12.40,3.60,0.00,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002509719,"COX & CRESWELL PLLC CPA",29,16906.00,535.58,429.43,106.15,0.63,0.00,0.00,12/08/2023,"CoCard 0827"
6588000002711174,"DEL MEDLIN",0,0.00,34.95,22.35,12.60,0.00,0.00,0.00,05/15/2024,"CoCard 0827"
6588000002306322,"DIVERSITY MRI",14,1471.20,81.30,84.97,-3.67,-0.25,0.00,0.00,03/22/2023,"CoCard 0827"
6588000002763316,"E & A WORKS WELDING LLC",12,4896.56,209.05,103.94,105.11,2.15,0.00,0.00,08/22/2024,"CoCard 0827"
6588000002318467,"EagleCrest Nursing and Rehab",0,0.00,16.00,12.40,3.60,0.00,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002318509,"Edgewood Health and Rehab",0,0.00,16.00,12.40,3.60,0.00,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002563492,"EL JALISCO WEWAHITCHKA INC",1124,53078.48,1098.92,953.32,145.60,0.27,0.00,0.00,03/12/2024,"CoCard 0827"
6588000002758621,"ENDLESS LAND MANAGEMENT",0,0.00,75.45,40.62,34.83,0.00,0.00,0.00,08/19/2024,"CoCard 0827"
6588000002318533,"Evergreen Living Center at Stagecoach",2,8123.67,327.71,248.18,79.53,0.98,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002580264,"EZ ROLL CASTERS INC.",1,187.38,87.14,35.04,52.10,27.80,0.00,0.00,04/15/2024,"CoCard 0827"
6588000002728798,"FAULKNER COUNTY ANIMAL COALITION INC",16,1204.50,81.16,51.36,29.80,2.47,0.00,0.00,09/06/2024,"CoCard 0827"
6588000002530889,"FIVE BROTHERS TWO",3046,63695.84,1666.54,1377.35,289.19,0.45,0.00,0.00,01/19/2024,"CoCard 0827"
6588000002802346,"FLEET CONCRETE INC.",1,3613.75,169.69,137.15,32.54,0.90,0.00,0.00,11/07/2024,"CoCard 0827"
6588000002465011,"FLORIDA CARPENTERS REGIONAL COUNCIL",10,489.17,96.78,31.14,65.64,13.42,0.00,0.00,10/05/2023,"CoCard 0827"
6588000002711158,"GARDENING ANGEL NURSERY",169,140807.57,3502.25,3202.17,300.08,0.21,0.00,0.00,05/24/2024,"CoCard 0827"
6588000002318558,"Gassville Therapy and Living",0,0.00,16.00,12.40,3.60,0.00,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002372241,"Great Events Catering",9,22104.65,868.15,410.07,458.08,2.07,0.00,0.00,06/13/2023,"CoCard 0827"
6588000002533651,"HAYES MARINE SERVICE LLC",3,5935.15,307.69,179.46,128.23,2.16,0.00,0.00,02/06/2024,"CoCard 0827"
6588000002270932,"HEARTLAND CHEVROLET GMC",42,27041.93,789.35,718.01,71.34,0.26,0.00,0.00,02/10/2023,"CoCard 0827"
6588000002271021,"HEARTLAND CHRYSLER DODGE JEEP RAM",64,33130.60,782.55,704.56,77.99,0.24,0.00,0.00,02/10/2023,"CoCard 0827"
6588000002270981,"HEARTLAND FORD",371,122980.10,2723.82,2511.44,212.38,0.17,0.00,0.00,02/10/2023,"CoCard 0827"
6588000002318624,"Heritage Living Center",2,1030.24,55.53,43.39,12.14,1.18,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002318699,"Hiram Shaddox Health and Rehab",4,509.55,35.55,26.23,9.32,1.83,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002272839,"HORIZON SOUTH",859,80085.00,1603.74,1241.36,362.38,0.45,0.00,0.00,02/14/2023,"CoCard 0827"
6588000001994169,"ISLAMORADA CHAMBER OF COMMERCE",0,0.00,40.90,25.60,15.30,0.00,0.00,0.00,02/09/2022,"CoCard 0827"
6588000002283364,"ISLAND SHORES ASSOCIATION INC.",147,577.50,112.15,69.87,42.28,7.32,0.00,0.00,03/01/2023,"CoCard 0827"
6588000002341899,"James River Nursing and Rehabilitation",2,7820.05,316.06,210.12,105.94,1.35,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002854248,"JOHN P SHELDON OD PA",153,39587.08,924.13,712.75,211.38,0.53,0.00,0.00,02/27/2025,"CoCard 0827"
6588000002318723,"Katherine's Place at Wedington",1,52.00,18.00,13.00,5.00,9.62,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002572964,"KENNY STRANGE ELECTRIC AND SERVICE COMPANY, INC.",43,35232.65,1089.59,943.58,146.01,0.41,0.00,0.00,03/26/2024,"CoCard 0827"
6588000002786606,"KNOX'S CRANE SERVICE LLC",0,0.00,49.95,23.85,26.10,0.00,0.00,0.00,10/08/2024,"CoCard 0827"
6588000002573053,"LANGFORD TREE SERVICE LLC",0,0.00,44.95,59.31,-14.36,0.00,0.00,0.00,03/21/2024,"CoCard 0827"
6588000002741502,"LEAD APRON CATERING LLC",640,15125.38,621.56,414.16,207.40,1.37,0.00,0.00,07/11/2024,"CoCard 0827"
6588000002482990,"LEMLEY FUNERAL SERVICES, INC.",7,4911.03,233.38,154.30,79.08,1.61,0.00,0.00,11/15/2023,"CoCard 0827"
6588000002119642,"LOW KEY FISHERIES",1187,59100.90,2342.79,1296.38,1046.41,1.77,0.00,0.00,07/21/2022,"CoCard 0827"
6588000002318749,"Magnolia Square Nursing and Rehab",6,17425.61,684.62,433.68,250.94,1.44,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002253805,"MEDTRUST HEALTH ALLIANCE",0,0.00,39.95,12.05,27.90,0.00,0.00,0.00,01/26/2023,"CoCard 0827"
6588000002318764,"Mountain Meadows Health and Rehabilitation",0,0.00,16.00,12.40,3.60,0.00,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002481430,"NADA MARKET",3397,34010.40,1601.20,1155.50,445.70,1.31,0.00,0.00,10/27/2023,"CoCard 0827"
6588000002572543,"NANCY SMITH PHILLIPS",19,881.00,68.32,77.40,-9.08,-1.03,0.00,0.00,03/20/2024,"CoCard 0827"
6588000002870285,"NOKOMIS AUTO CENTER",6,2979.27,86.17,116.68,-30.51,-1.02,0.00,0.00,03/31/2025,"CoCard 0827"
6588000002318806,"North Hills Life Care and Rehab",0,0.00,16.00,12.40,3.60,0.00,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002331049,"NUTRITION CONNECTION BALANCE",130,77178.21,2996.33,2351.37,644.96,0.84,0.00,0.00,04/25/2023,"CoCard 0827"
6588000002318830,"Oak Ridge Health and Rehabilitation",0,0.00,16.00,12.40,3.60,0.00,0.00,0.00,05/01/2023,"CoCard 0827"
6588000002406940,"Palo Duro High School AISD",0,0.00,33.95,9.79,24.16,0.00,0.00,0.00,07/26/2023,"CoCard 0827"
6588000002318855,"Pioneer Therapy and Living",1,29.12,17.12,13.21,3.91,13.43,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002693984,"PRECIDENT - AR",76,149728.21,4812.91,3716.68,1096.23,0.73,0.00,0.00,04/25/2024,"CoCard 0827"
6588000002698215,"PRECIDENT - LARGO FL",37,29138.15,762.24,529.22,233.02,0.80,0.00,0.00,04/25/2024,"CoCard 0827"
6588000002698223,"PRECIDENT - ST PETE FL",0,0.00,44.95,23.35,21.60,0.00,0.00,0.00,04/25/2024,"CoCard 0827"
6588000002544898,"PREVENTIVE CARDIOLOGY",345,22028.53,533.30,487.51,45.79,0.21,0.00,0.00,02/13/2024,"CoCard 0827"
6588000002845147,"QUAIL RUN HEALTH AND REHAB",0,0.00,40.95,28.35,12.60,0.00,0.00,0.00,02/11/2025,"CoCard 0827"
6588000002318871,"Rector Nursing and Rehab",2,1974.78,91.77,43.04,48.73,2.47,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002444693,"RELIABLE JET MAINTENANCE",15,14565.14,545.88,444.95,100.93,0.69,0.00,0.00,09/18/2023,"CoCard 0827"
6588000002510402,"RIB CRIB",2834,133600.43,2627.03,2513.73,113.30,0.08,0.00,0.00,12/11/2023,"CoCard 0827"
6588000002533370,"RIB CRIB",3635,149916.23,2922.73,2782.59,140.14,0.09,0.00,0.00,01/25/2024,"CoCard 0827"
6588000002448298,"Richard Weylman, Inc",0,0.00,89.95,30.19,59.76,0.00,0.00,0.00,09/15/2023,"CoCard 0827"
6588000002881308,"RICKEYS RESTAURANT & SPORTS BAR",4131,235880.90,6280.97,5353.06,927.91,0.39,0.00,0.00,04/28/2025,"CoCard 0827"
6588000002318897,"Ridgecrest Health and Rehabilitation",3,1135.54,59.57,36.63,22.94,2.02,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002318657,"SCHAIN AND COMPANY, CPAS",3,3675.00,144.56,106.63,37.93,1.03,0.00,0.00,04/05/2023,"CoCard 0827"
6588000002329670,"Silver Oaks Health and Rehabilitation",0,0.00,16.00,12.40,3.60,0.00,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002548436,"SITN IN THE KEYS",21,9691.88,456.83,260.91,195.92,2.02,0.00,0.00,02/14/2024,"CoCard 0827"
6588000002401479,"Solomon Center",0,0.00,69.95,27.29,42.66,0.00,0.00,0.00,07/20/2023,"CoCard 0827"
6588000002329712,"SouthFork River Therapy and Living",0,0.00,16.00,12.40,3.60,0.00,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002329753,"Southridge Village Nursing and Rehab",0,0.00,16.00,12.40,3.60,0.00,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002329811,"Spring Creek Health & Rehab",1,1095.02,60.02,39.38,20.64,1.88,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002329852,"St. Elizabeth's Place",0,0.00,16.00,12.40,3.60,0.00,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002302396,"STEVE'S AUTO CENTER OF CONWAY, INC",52,17123.08,717.72,477.46,240.26,1.40,0.00,0.00,03/20/2023,"CoCard 0827"
6588000002406833,"Tascosa High Amarillo ISD",0,0.00,33.95,9.79,24.16,0.00,0.00,0.00,07/26/2023,"CoCard 0827"
6588000002329894,"The Crossing at Riverside Health and Rehabilitation",0,0.00,16.00,12.40,3.60,0.00,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002330264,"The Lakes at Maumelle Health and Rehabilitation",1,12.90,16.50,12.76,3.74,28.99,0.00,0.00,05/02/2023,"CoCard 0827"
