Residuals - Clearent (March 2025)

Merchant ID,Merchant,Transactions,Sales Amount,Income,Expenses,Net,BPS,%,Agent Net,Approval Date,Group 
6588000002455723,"A-1 CHIMNEY PRO, INC.",0,0.00,64.95,39.12,25.83,0.00,0.00,0.00,10/06/2023,"CoCard 0827"
6588000002375111,"Acunto Landscape & Design",15,5444.91,282.86,147.40,135.46,2.49,0.00,0.00,06/13/2023,"CoCard 0827"
6588000002406122,"AISD DIck Bivins Stadium",955,6223.45,980.02,377.37,602.65,9.68,0.00,0.00,07/26/2023,"CoCard 0827"
6588000002315901,"Alcoa Pines Health and Rehabilitation",4,4327.78,182.06,134.16,47.90,1.11,0.00,0.00,05/02/2023,"CoCard 0827"
6588000002578847,"ALL FIRE SERVICES, INC",74,157974.90,4978.53,4620.47,358.06,0.23,0.00,0.00,04/11/2024,"CoCard 0827"
6588000002730778,"ALL RITE PAVING CONTRACTORS",17,71225.50,2176.44,1867.66,308.78,0.43,0.00,0.00,06/17/2024,"CoCard 0827"
6588000002695146,"AMARILLO AREA BAR ASSOCIATION",0,0.00,0.00,5.40,-5.40,0.00,0.00,0.00,04/25/2024,"CoCard 0827"
6588000002406908,"Amarillo High School Amarillo ISD",0,0.00,33.95,23.29,10.66,0.00,0.00,0.00,07/26/2023,"CoCard 0827"
6588000002437424,"Amarillo ISD AHS Food Service",82,242.45,37.84,29.25,8.59,3.54,0.00,0.00,09/14/2023,"CoCard 0827"
6588000002437440,"Amarillo ISD Caprock High School Food Service",302,930.70,109.71,84.65,25.06,2.69,0.00,0.00,09/14/2023,"CoCard 0827"
6588000002437507,"Amarillo ISD Palo Duro Food Service",2,224.80,15.85,25.77,-9.92,-4.41,0.00,0.00,09/14/2023,"CoCard 0827"
6588000002437051,"Amarillo ISD Tascosa High Food Service",123,399.95,52.33,40.85,11.48,2.87,0.00,0.00,09/14/2023,"CoCard 0827"
6588000002318020,"Amberwood Health and Rehabilitation",2,88.39,19.39,14.30,5.09,5.76,0.00,0.00,05/01/2023,"CoCard 0827"
6588000002788842,AMTECH,278,1270.00,131.28,97.85,33.43,2.63,0.00,0.00,10/11/2024,"CoCard 0827"
6588000002347672,"Aqua Vista Pool & Spa LLC",26,5743.38,206.37,161.42,44.95,0.78,0.00,0.00,05/10/2023,"CoCard 0827"
6588000002516185,"ARKANSAS SELECT TAX SERVICES",122,22830.43,425.09,341.89,83.20,0.36,0.00,0.00,12/20/2023,"CoCard 0827"
6588000002516151,"ARKANSAS SELECT TAX SERVICES, INC.",439,98865.66,1741.71,1360.86,380.85,0.39,0.00,0.00,12/20/2023,"CoCard 0827"
6588000002482180,"ASHFORD AUTO DETAIL",0,0.00,59.80,38.61,21.19,0.00,0.00,0.00,11/02/2023,"CoCard 0827"
