Residuals - Global Payments - TSYS (April 2025)

Merchant ID,Merchant,Transactions,Sales Amount,Income,Expenses,Net,BPS,%,Agent Net,Approval Date,Group,Reward Program,Incentco One-Time Flat Rate Award,Incentco Flat Rate for Rewards,Basis Points for Rewards 
5436845560030586,"ADULT AND GERIATRIC CEN",27,864.01,68.17,6.82,61.35,7.10,0.00,0.00,08/18/2023,"CoCard 0827",,,,
5436845560052754,"BEDFORD CAMERA AND VIDE",0,0.00,30.10,3.01,27.09,0.00,0.00,0.00,09/20/2023,"CoCard 0827",,,,
5436845560052739,"BEDFORD CAMERA AND VIDE",794,141598.06,445.45,44.55,400.90,0.28,0.00,0.00,09/20/2023,"CoCard 0827",,,,
5436845560052705,"BEDFORD CAMERA AND VIDE",1070,297159.68,846.55,84.66,761.89,0.26,0.00,0.00,09/20/2023,"CoCard 0827",,,,
5436845560052697,"BEDFORD CAMERA AND VIDE",678,199823.51,629.65,62.97,566.68,0.28,0.00,0.00,09/22/2023,"CoCard 0827",,,,
5436845560052655,"BEDFORD CAMERA AND VIDE",1000,208220.06,696.57,69.66,626.91,0.30,0.00,0.00,09/22/2023,"CoCard 0827",,,,
5436845560052671,"BEDFORD CAMERA AND VIDE",1059,174598.63,539.30,53.93,485.37,0.28,0.00,0.00,09/20/2023,"CoCard 0827",,,,
5436845560166422,"CORRIDOR ENDODONTICS",36,13575.19,185.52,18.55,166.97,1.23,0.00,0.00,03/07/2024,"CoCard 0827",,,,
5436845560166414,"CORRIDOR ENDODONTICS",116,36035.53,361.44,36.14,325.30,0.90,0.00,0.00,03/07/2024,"CoCard 0827",,,,
5436845560124900,"CORRIDOR ENDODONTICS LL",145,53962.39,512.40,51.24,461.16,0.85,0.00,0.00,01/10/2024,"CoCard 0827",,,,
5436845559813091,"DREAMLINE MFG INC",19,11182.94,38.29,3.83,34.46,0.31,0.00,0.00,10/11/2022,"CoCard 0827",,,,
5436845560000456,"EDWARD G MACKAY LARGO",117,30347.40,238.31,23.83,214.48,0.71,0.00,0.00,07/24/2023,"CoCard 0827",,,,
5436845560000381,"EDWARD G MACKAY MD ASSO",266,137090.91,889.02,88.90,800.12,0.58,0.00,0.00,07/24/2023,"CoCard 0827",,,,
5436845560000514,"EDWARD G MACKAY ST PETE",184,49005.13,355.10,35.51,319.59,0.65,0.00,0.00,07/24/2023,"CoCard 0827",,,,
5436845559568000,GYROTONIC,59,172811.97,1083.48,108.35,975.13,0.56,0.00,0.00,10/12/2021,"CoCard 0827",,,,
5436845559915896,"MANNE FOUNDATION HOMELE",0,0.00,27.85,2.79,25.06,0.00,0.00,0.00,03/15/2023,"CoCard 0827",,,,
5436845559997043,"NATURES MARKET AND RV P",1163,42708.77,584.10,58.41,525.69,1.23,0.00,0.00,06/29/2023,"CoCard 0827",,,,
