Residuals - Global Payments - TSYS (March 2025)

Merchant ID,Merchant,Transactions,Sales Amount,Income,Expenses,Net,BPS,%,Agent Net,Approval Date,Group,Reward Program,Incentco One-Time Flat Rate Award,Incentco Flat Rate for Rewards,Basis Points for Rewards 
5436845560030586,"ADULT AND GERIATRIC CEN",20,1274.39,56.68,5.67,51.01,4.00,0.00,0.00,08/18/2023,"CoCard 0827",,,,
5436845560052754,"BEDFORD CAMERA AND VIDE",2,17.40,20.97,2.10,18.87,108.45,0.00,0.00,09/20/2023,"CoCard 0827",,,,
5436845560052739,"BEDFORD CAMERA AND VIDE",733,117196.05,368.13,36.81,331.32,0.28,0.00,0.00,09/20/2023,"CoCard 0827",,,,
5436845560052705,"BEDFORD CAMERA AND VIDE",1170,301054.22,853.66,85.37,768.29,0.26,0.00,0.00,09/20/2023,"CoCard 0827",,,,
5436845560052697,"BEDFORD CAMERA AND VIDE",679,193783.99,517.63,51.76,465.87,0.24,0.00,0.00,09/22/2023,"CoCard 0827",,,,
5436845560052671,"BEDFORD CAMERA AND VIDE",906,207191.45,598.24,59.82,538.42,0.26,0.00,0.00,09/20/2023,"CoCard 0827",,,,
5436845560052655,"BEDFORD CAMERA AND VIDE",906,204747.03,572.73,57.27,515.46,0.25,0.00,0.00,09/22/2023,"CoCard 0827",,,,
5436845560166422,"CORRIDOR ENDODONTICS",59,23302.99,254.13,25.41,228.72,0.98,0.00,0.00,03/07/2024,"CoCard 0827",,,,
5436845560166414,"CORRIDOR ENDODONTICS",165,53976.08,492.13,49.21,442.92,0.82,0.00,0.00,03/07/2024,"CoCard 0827",,,,
5436845560124900,"CORRIDOR ENDODONTICS LL",244,88100.82,778.08,77.81,700.27,0.79,0.00,0.00,01/10/2024,"CoCard 0827",,,,
5436845559813091,"DREAMLINE MFG INC",20,33889.73,51.44,5.14,46.30,0.14,0.00,0.00,10/11/2022,"CoCard 0827",,,,
5436845560000456,"EDWARD G MACKAY LARGO",129,27323.16,211.65,21.17,190.48,0.70,0.00,0.00,07/24/2023,"CoCard 0827",,,,
5436845560000381,"EDWARD G MACKAY MD ASSO",303,132067.98,851.94,85.19,766.75,0.58,0.00,0.00,07/24/2023,"CoCard 0827",,,,
5436845560000514,"EDWARD G MACKAY ST PETE",163,47881.57,337.28,33.73,303.55,0.63,0.00,0.00,07/24/2023,"CoCard 0827",,,,
5436845559568000,GYROTONIC,27,217315.07,1112.76,111.28,1001.48,0.46,0.00,0.00,10/12/2021,"CoCard 0827",,,,
5436845559915896,"MANNE FOUNDATION HOMELE",4,5850.00,37.28,3.73,33.55,0.57,0.00,0.00,03/15/2023,"CoCard 0827",,,,
5436845559997043,"NATURES MARKET AND RV P",885,31730.57,436.15,43.62,392.53,1.24,0.00,0.00,06/29/2023,"CoCard 0827",,,,
