Residuals - Merchant Lynx (April 2025)

Merchant ID,Merchant,Transactions,Sales Amount,Income,Expenses,Net,BPS,%,Agent Net,Approval Date,Group 
924600888801573,"CHESAPEAKE MOTEL",317,44609.83,1479.38,1174.77,304.61,0.68,0.00,0.00,05/10/2023,"CoCard 0827"
924600888801896,"COASTAL MARINE & SMALL EN",2,4669.92,199.53,182.36,17.17,0.37,0.00,0.00,06/02/2023,"CoCard 0827"
924600888802175,"CPH FAMILY MEDICAL CARE",72,7419.69,421.29,269.78,151.51,2.04,0.00,0.00,06/28/2023,"CoCard 0827"
924600888801557,"CROSSWAY MOTEL",263,22424.17,637.30,466.17,171.13,0.76,0.00,0.00,05/10/2023,"CoCard 0827"
924600888802043,"DC ACCOUNTING SERVICE PA",10,8657.18,406.18,255.80,150.38,1.74,0.00,0.00,06/20/2023,"CoCard 0827"
924600888802704,"DOBBS FUNERAL HOME",0,0.00,116.65,83.49,33.16,0.00,0.00,0.00,08/25/2023,"CoCard 0827"
924600888802217,"EAST JOHNSON COUNTY WATER",45,4582.48,248.46,122.47,125.99,2.75,0.00,0.00,06/30/2023,"CoCard 0827"
924600888800237,"FENIX CIGARS",122,6229.69,306.65,227.31,79.34,1.27,0.00,0.00,12/07/2022,"CoCard 0827"
924600888000333,FLEAS-N-TIQUES,5,127.58,64.95,39.34,25.61,20.07,0.00,0.00,04/01/2024,"CoCard 0827"
924600888801797,"HANDCRAFT CUSTOM DRY CLEA",251,22232.24,984.67,735.37,249.30,1.12,0.00,0.00,05/24/2023,"CoCard 0827"
924600888803041,"HAPPY STOP LLC",3348,57273.73,2324.20,1642.72,681.48,1.19,0.00,0.00,09/27/2023,"CoCard 0827"
924600888802407,"J & J ANTIQUES & STUFF",37,811.62,157.73,120.70,37.03,4.56,0.00,0.00,07/19/2023,"CoCard 0827"
4783790988800686,"JIM CRANDELL GOLF CART SALES L CLOSED",0,0.00,41.60,31.16,10.44,0.00,0.00,0.00,05/25/2023,"CoCard 0827"
924600999136805,"KEYS FRESH SEAFOOD LLC",1,1552.50,174.15,114.45,59.70,3.85,0.00,0.00,04/12/2023,"CoCard 0827"
924600888802076,"LOVE AND LIGHT HEALING",0,0.00,10.00,17.48,-7.48,0.00,0.00,0.00,06/21/2023,"CoCard 0827"
924600888802712,"MARINA AT FACTORY BAY ASS",25,10515.36,576.72,447.54,129.18,1.23,0.00,0.00,08/28/2023,"CoCard 0827"
924600888800898,"ORNAMENTAL COLUMNS & STAT",23,6232.11,360.72,266.29,94.43,1.52,0.00,0.00,03/16/2023,"CoCard 0827"
924600888802522,"PIEROGI POLISH MARKET INC CLOSED",0,0.00,121.64,82.35,39.29,0.00,0.00,0.00,08/09/2023,"CoCard 0827"
924600888800906,"PRANA SPA CLOSED",0,0.00,126.59,98.78,27.81,0.00,0.00,0.00,03/16/2023,"CoCard 0827"
924600888800864,"RICHMOND GYMNASTICS TRAIN",213,13448.08,526.02,301.70,224.32,1.67,0.00,0.00,03/15/2023,"CoCard 0827"
924600888802027,"RISING PHOENIX ENERGY ENH CLOSED",1,410.76,25.76,30.88,-5.12,-1.25,0.00,0.00,06/19/2023,"CoCard 0827"
924600888802878,"SLICE OF PARADISE OF THE",478,19311.78,872.60,611.56,261.04,1.35,0.00,0.00,09/13/2023,"CoCard 0827"
924600888802688,"SPANISH WELLS COMMUNITY A",13,389.10,39.06,34.88,4.18,1.07,0.00,0.00,08/24/2023,"CoCard 0827"
924600888802100,"SUTTON BRICK AND STONE, I",10,14020.51,634.45,536.15,98.30,0.70,0.00,0.00,06/22/2023,"CoCard 0827"
924600888800872,"THE NEXT STEP DANCE STUDI",36,3764.25,154.44,96.91,57.53,1.53,0.00,0.00,03/15/2023,"CoCard 0827"
4783790999009475,"VISTA BEAUTY BAR",17,2248.47,41.64,41.16,0.48,0.02,0.00,0.00,10/06/2023,"CoCard 0827"
