Residuals - Merchant Lynx (March 2025)

Merchant ID,Merchant,Transactions,Sales Amount,Income,Expenses,Net,BPS,%,Agent Net,Approval Date,Group 
924600888801573,"CHESAPEAKE MOTEL",423,51354.10,1681.56,1370.58,310.98,0.61,0.00,0.00,05/10/2023,"CoCard 0827"
924600888801896,"COASTAL MARINE & SMALL EN",3,2004.83,109.40,97.81,11.59,0.58,0.00,0.00,06/02/2023,"CoCard 0827"
924600888802175,"CPH FAMILY MEDICAL CARE",89,10610.36,543.70,336.51,207.19,1.95,0.00,0.00,06/28/2023,"CoCard 0827"
924600888801557,"CROSSWAY MOTEL",291,27285.49,736.81,570.54,166.27,0.61,0.00,0.00,05/10/2023,"CoCard 0827"
924600888802043,"DC ACCOUNTING SERVICE PA",12,7476.87,360.89,229.99,130.90,1.75,0.00,0.00,06/20/2023,"CoCard 0827"
924600888802704,"DOBBS FUNERAL HOME",0,0.00,116.65,83.49,33.16,0.00,0.00,0.00,08/25/2023,"CoCard 0827"
924600888802217,"EAST JOHNSON COUNTY WATER",57,4787.87,256.35,132.55,123.80,2.59,0.00,0.00,06/30/2023,"CoCard 0827"
924600888800237,"FENIX CIGARS",112,5875.62,293.06,206.50,86.56,1.47,0.00,0.00,12/07/2022,"CoCard 0827"
924600888000333,FLEAS-N-TIQUES,49,1616.50,106.92,61.99,44.93,2.78,0.00,0.00,04/01/2024,"CoCard 0827"
924600888802308,"GRINDER LAW FIRM CLOSED",0,0.00,84.00,60.51,23.49,0.00,0.00,0.00,07/13/2023,"CoCard 0827"
924600888801797,"HANDCRAFT CUSTOM DRY CLEA",216,21772.20,966.98,707.12,259.86,1.19,0.00,0.00,05/24/2023,"CoCard 0827"
924600888803041,"HAPPY STOP LLC",2935,51764.77,2063.82,1453.75,610.07,1.18,0.00,0.00,09/27/2023,"CoCard 0827"
924600888802407,"J & J ANTIQUES & STUFF",74,2587.67,225.87,163.09,62.78,2.43,0.00,0.00,07/19/2023,"CoCard 0827"
4783790988800686,"JIM CRANDELL GOLF CART SALES L CLOSED",0,0.00,41.60,31.16,10.44,0.00,0.00,0.00,05/25/2023,"CoCard 0827"
924600999136805,"KEYS FRESH SEAFOOD LLC",1,2587.96,209.16,157.01,52.15,2.02,0.00,0.00,04/12/2023,"CoCard 0827"
924600888802076,"LOVE AND LIGHT HEALING",3,457.56,27.56,26.98,0.58,0.13,0.00,0.00,06/21/2023,"CoCard 0827"
924600888802712,"MARINA AT FACTORY BAY ASS",24,8995.99,565.94,394.42,171.52,1.91,0.00,0.00,08/28/2023,"CoCard 0827"
924600888800898,"ORNAMENTAL COLUMNS & STAT",25,6563.33,373.42,227.47,145.95,2.22,0.00,0.00,03/16/2023,"CoCard 0827"
924600888802522,"PIEROGI POLISH MARKET INC CLOSED",0,0.00,125.79,87.11,38.68,0.00,0.00,0.00,08/09/2023,"CoCard 0827"
924600888800906,"PRANA SPA CLOSED",0,0.00,126.59,98.78,27.81,0.00,0.00,0.00,03/16/2023,"CoCard 0827"
924600888800864,"RICHMOND GYMNASTICS TRAIN",215,12796.96,501.03,284.63,216.40,1.69,0.00,0.00,03/15/2023,"CoCard 0827"
924600888802027,"RISING PHOENIX ENERGY ENH CLOSED",11,767.43,39.45,37.68,1.77,0.23,0.00,0.00,06/19/2023,"CoCard 0827"
924600888802878,"SLICE OF PARADISE OF THE",664,28802.17,1236.77,890.66,346.11,1.20,0.00,0.00,09/13/2023,"CoCard 0827"
924600888802688,"SPANISH WELLS COMMUNITY A",22,570.68,45.61,41.25,4.36,0.76,0.00,0.00,08/24/2023,"CoCard 0827"
924600888802100,"SUTTON BRICK AND STONE, I",10,29405.99,1230.59,1069.95,160.64,0.55,0.00,0.00,06/22/2023,"CoCard 0827"
924600888800872,"THE NEXT STEP DANCE STUDI",25,1960.04,85.20,66.09,19.11,0.97,0.00,0.00,03/15/2023,"CoCard 0827"
4783790999009475,"VISTA BEAUTY BAR",17,2457.05,45.91,45.38,0.53,0.02,0.00,0.00,10/06/2023,"CoCard 0827"
