Residuals - Micamp Solutions (April 2025)

Merchant ID,Merchant,Transactions,Sales Amount,Income,Expenses,Net,BPS,%,Agent Net,Approval Date,Group 
820100009480,"ARKANSAS USA WRESTLING",137,6688.24,281.64,171.69,109.95,1.64,0.00,0.00,03/29/2024,"CoCard 0827"
498434550881,"BILLY CLARK BAIL BONDS",0,0.00,50.00,19.13,30.87,0.00,0.00,0.00,02/09/2024,"CoCard 0827"
498431863881,"DEBOARD ELECTRONICS",58,33189.36,714.43,637.99,76.44,0.23,0.00,0.00,01/17/2024,"CoCard 0827"
498459404881,"DIGITAL TECHNOLOGY GROUP",467,387398.90,9774.60,9662.18,112.42,0.03,0.00,0.00,09/05/2024,"CoCard 0914"
498792480887,"ENCORE AT LEWIS RANCH- E",0,0.00,25.06,16.64,8.42,0.00,0.00,0.00,02/26/2024,"CoCard 0827"
498792481885,"ENCORE AT LEWIS RANCH- O",0,0.00,26.03,17.61,8.42,0.00,0.00,0.00,02/26/2024,"CoCard 0827"
815209580886,"EOI DIRECT",6099,512723.70,12531.42,12070.49,460.93,0.09,0.00,0.00,01/17/2025,"CoCard 0827"
498431789888,"F&B COSMETICS LLC CLOSED",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/17/2024,"CoCard 0827"
820100010520,"FRANCESCO SWEETS",0,0.00,0.00,0.44,-0.44,0.00,0.00,0.00,04/23/2024,"CoCard 0827"
498450581885,"GALCO INDUSTRIAL ELECTRO",7004,3390995.00,66790.60,65823.60,967.00,0.03,0.00,0.00,06/21/2024,"CoCard 0827"
498433226889,"H&M DISTRIBUTION LLC CLOSED",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/29/2024,"CoCard 0827"
820100008433,"HWY 5 AUTO SALVAGE",82,11586.68,628.29,263.25,365.04,3.15,0.00,0.00,03/14/2024,"CoCard 0827"
820100008664,"ISLAND WOMENS HEALTH",0,0.00,25.00,7.35,17.65,0.00,0.00,0.00,03/19/2024,"CoCard 0827"
820100010033,"ISLAND WOMENS HEALTH",41,4255.35,188.12,119.59,68.53,1.61,0.00,0.00,04/14/2024,"CoCard 0827"
529808620113639,"KAYAK KINGS OF KEY WEST LLC",0,0.00,34.99,16.28,18.71,0.00,0.00,0.00,11/14/2024,"CoCard 0827"
529808620200584,"KEY WEST SCREAMING LINES CHARTER",9,5959.20,263.59,181.97,81.62,1.37,0.00,0.00,03/12/2024,"CoCard 0827"
820100008276,"MCCORMICK FAMILY DENTISTRY",219,34969.94,1098.95,781.37,317.58,0.91,0.00,0.00,03/12/2024,"CoCard 0827"
820100005272,"MEADOW CDJR",0,0.00,25.00,7.35,17.65,0.00,0.00,0.00,01/23/2024,"CoCard 0827"
498794241881,"MEADOWS CDJR",60,18675.86,457.57,409.08,48.49,0.26,0.00,0.00,05/14/2024,"CoCard 0827"
820100005306,"MEADOWS CHEVROLET",0,0.00,25.00,10.01,14.99,0.00,0.00,0.00,01/23/2024,"CoCard 0827"
498794240883,"MEADOWS CHEVROLET",97,34766.53,902.38,798.48,103.90,0.30,0.00,0.00,05/14/2024,"CoCard 0827"
498794242889,"MEADOWS FORD",101,46880.73,1303.99,1134.44,169.55,0.36,0.00,0.00,05/14/2024,"CoCard 0827"
820100005280,"MEADOWS FORD",0,0.00,25.00,7.35,17.65,0.00,0.00,0.00,01/23/2024,"CoCard 0827"
498459445884,"MOE GAS AND DIESEL",2206,39182.58,1728.00,1286.03,441.97,1.13,0.00,0.00,09/05/2024,"CoCard 0827"
820100008557,"R AND R OUTDOORS",88,6961.54,295.18,145.94,149.24,2.14,0.00,0.00,03/18/2024,"CoCard 0827"
529808620301036,"RANGERS EXCAVATION LLC",0,0.00,69.99,69.99,0.00,0.00,0.00,0.00,03/25/2024,"CoCard 0827"
529808620200618,"ROOFTOP CHIMNEY SERVICE",15,6260.73,236.65,182.30,54.35,0.87,0.00,0.00,07/24/2024,"CoCard 0827"
529808620112714,"RUN FOR RHONDA",0,0.00,0.00,8.51,-8.51,0.00,0.00,0.00,04/23/2024,"CoCard 0827"
498432734883,"SALTER PLUMBING",13,10214.61,237.65,200.86,36.79,0.36,0.00,0.00,01/24/2024,"CoCard 0827"
820100005405,SAVANNAHS,3144,105241.30,4105.65,2212.01,1893.64,1.80,0.00,0.00,01/25/2024,"CoCard 0827"
815201562882,"SCHRADER FUNERAL HOME IN",99,233251.20,5291.74,5211.07,80.67,0.03,0.00,0.00,05/31/2024,"CoCard 0827"
529808620112482,"SISTER SEASONS FUND",0,0.00,34.99,16.28,18.71,0.00,0.00,0.00,03/18/2024,"CoCard 0827"
815201648889,"THE FIELD HOUSE",244,14505.17,599.81,299.87,299.94,2.07,0.00,0.00,06/07/2024,"CoCard 0827"
498457467880,"THE PADRE HOTEL",2153,432454.40,12071.31,11858.85,212.46,0.05,0.00,0.00,08/20/2024,"CoCard 0827"
820100012898,"TOBACCO HAVEN CLOSED",0,0.00,0.00,0.33,-0.33,0.00,0.00,0.00,05/30/2024,"CoCard 0827"
498457464887,"TOWER 23 HOTEL",660,404122.70,11239.82,11132.41,107.41,0.03,0.00,0.00,08/20/2024,"CoCard 0827"
820100013615,"TRINITY DEVELOPMENT COMPANY INC",0,0.00,41.25,23.60,17.65,0.00,0.00,0.00,06/14/2024,"CoCard 0827"
820100007880,UATAN,11,1695.90,112.40,54.37,58.03,3.42,0.00,0.00,03/12/2024,"CoCard 0827"
529808620112839,"WHEN IT COUNTS HOME INSPECTION",9,4156.50,93.12,113.58,-20.46,-0.49,0.00,0.00,05/29/2024,"CoCard 0827"
498435072885,"WOODARD CARPET & DESIGN",8,1850.92,71.18,34.58,36.60,1.98,0.00,0.00,02/14/2024,"CoCard 0827"
