Residuals - Micamp Solutions (March 2025)

Merchant ID,Merchant,Transactions,Sales Amount,Income,Expenses,Net,BPS,%,Agent Net,Approval Date,Group 
820100009480,"ARKANSAS USA WRESTLING",0,0.00,25.00,15.96,9.04,0.00,0.00,0.00,03/29/2024,"CoCard 0827"
498434550881,"BILLY CLARK BAIL BONDS",0,0.00,50.00,24.98,25.02,0.00,0.00,0.00,02/09/2024,"CoCard 0827"
498431863881,"DEBOARD ELECTRONICS",46,25364.07,500.64,451.55,49.09,0.19,0.00,0.00,01/17/2024,"CoCard 0827"
498459404881,"DIGITAL TECHNOLOGY GROUP",434,329659.20,8025.55,7932.75,92.80,0.03,0.00,0.00,09/05/2024,"CoCard 0914"
498792480887,"ENCORE AT LEWIS RANCH- E",0,0.00,26.10,23.68,2.42,0.00,0.00,0.00,02/26/2024,"CoCard 0827"
498792481885,"ENCORE AT LEWIS RANCH- O",1,650.00,65.16,63.88,1.28,0.20,0.00,0.00,02/26/2024,"CoCard 0827"
815209580886,"EOI DIRECT",5714,478595.10,11489.84,11263.52,226.32,0.05,0.00,0.00,01/17/2025,"CoCard 0827"
498431789888,"F&B COSMETICS LLC CLOSED",0,0.00,0.00,3.39,-3.39,0.00,0.00,0.00,01/17/2024,"CoCard 0827"
820100010520,"FRANCESCO SWEETS",0,0.00,0.00,0.44,-0.44,0.00,0.00,0.00,04/23/2024,"CoCard 0827"
498450581885,"GALCO INDUSTRIAL ELECTRO",6276,2583080.00,46444.35,46366.86,77.49,0.00,0.00,0.00,06/21/2024,"CoCard 0827"
498433226889,"H&M DISTRIBUTION LLC CLOSED",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/29/2024,"CoCard 0827"
820100008433,"HWY 5 AUTO SALVAGE",84,16056.52,694.19,352.13,342.06,2.13,0.00,0.00,03/14/2024,"CoCard 0827"
820100008664,"ISLAND WOMENS HEALTH",0,0.00,25.00,10.28,14.72,0.00,0.00,0.00,03/19/2024,"CoCard 0827"
820100010033,"ISLAND WOMENS HEALTH",32,2801.46,144.46,88.03,56.43,2.01,0.00,0.00,04/14/2024,"CoCard 0827"
529808620113639,"KAYAK KINGS OF KEY WEST LLC",0,0.00,34.99,16.28,18.71,0.00,0.00,0.00,11/14/2024,"CoCard 0827"
529808620200584,"KEY WEST SCREAMING LINES CHARTER",6,3504.80,169.44,114.48,54.96,1.57,0.00,0.00,03/12/2024,"CoCard 0827"
820100008276,"MCCORMICK FAMILY DENTISTRY",184,33086.26,967.53,670.76,296.77,0.90,0.00,0.00,03/12/2024,"CoCard 0827"
820100005272,"MEADOW CDJR",0,0.00,25.00,10.28,14.72,0.00,0.00,0.00,01/23/2024,"CoCard 0827"
498794241881,"MEADOWS CDJR",66,18344.76,401.71,330.77,70.94,0.39,0.00,0.00,05/14/2024,"CoCard 0827"
498794240883,"MEADOWS CHEVROLET",110,38024.38,928.67,711.41,217.26,0.57,0.00,0.00,05/14/2024,"CoCard 0827"
820100005306,"MEADOWS CHEVROLET",0,0.00,25.00,12.93,12.07,0.00,0.00,0.00,01/23/2024,"CoCard 0827"
820100005280,"MEADOWS FORD",0,0.00,25.00,10.28,14.72,0.00,0.00,0.00,01/23/2024,"CoCard 0827"
498794242889,"MEADOWS FORD",78,26133.13,635.32,508.34,126.98,0.49,0.00,0.00,05/14/2024,"CoCard 0827"
498459445884,"MOE GAS AND DIESEL",2086,38470.44,1672.55,1246.19,426.36,1.11,0.00,0.00,09/05/2024,"CoCard 0827"
820100008557,"R AND R OUTDOORS",75,9079.78,332.14,146.42,185.72,2.05,0.00,0.00,03/18/2024,"CoCard 0827"
529808620301036,"RANGERS EXCAVATION LLC",0,0.00,69.99,101.49,-31.50,0.00,0.00,0.00,03/25/2024,"CoCard 0827"
529808620200618,"ROOFTOP CHIMNEY SERVICE",14,5491.52,216.56,182.41,34.15,0.62,0.00,0.00,07/24/2024,"CoCard 0827"
529808620112714,"RUN FOR RHONDA",0,0.00,0.00,8.51,-8.51,0.00,0.00,0.00,04/23/2024,"CoCard 0827"
498432734883,"SALTER PLUMBING",8,5255.44,132.84,117.17,15.67,0.30,0.00,0.00,01/24/2024,"CoCard 0827"
820100005405,SAVANNAHS,3689,117004.20,4573.07,2488.89,2084.18,1.78,0.00,0.00,01/25/2024,"CoCard 0827"
815201562882,"SCHRADER FUNERAL HOME IN",95,354724.30,8535.52,8361.57,173.95,0.05,0.00,0.00,05/31/2024,"CoCard 0827"
529808620112482,"SISTER SEASONS FUND",0,0.00,34.99,16.28,18.71,0.00,0.00,0.00,03/18/2024,"CoCard 0827"
815201648889,"THE FIELD HOUSE",213,12535.82,510.20,262.57,247.63,1.98,0.00,0.00,06/07/2024,"CoCard 0827"
498457467880,"THE PADRE HOTEL",2546,527658.40,14488.90,14314.04,174.86,0.03,0.00,0.00,08/20/2024,"CoCard 0827"
820100012898,"TOBACCO HAVEN CLOSED",0,0.00,0.00,0.33,-0.33,0.00,0.00,0.00,05/30/2024,"CoCard 0827"
498457464887,"TOWER 23 HOTEL",750,438479.50,12532.15,12493.16,38.99,0.01,0.00,0.00,08/20/2024,"CoCard 0827"
820100013615,"TRINITY DEVELOPMENT COMPANY INC",22,15832.95,294.83,199.47,95.36,0.60,0.00,0.00,06/14/2024,"CoCard 0827"
820100007880,UATAN,10,543.83,73.36,23.35,50.01,9.20,0.00,0.00,03/12/2024,"CoCard 0827"
529808620112839,"WHEN IT COUNTS HOME INSPECTION",18,6972.00,149.43,139.86,9.57,0.14,0.00,0.00,05/29/2024,"CoCard 0827"
498435072885,"WOODARD CARPET & DESIGN",15,3537.88,136.07,89.61,46.46,1.31,0.00,0.00,02/14/2024,"CoCard 0827"
