Residuals - Micamp Solutions (May 2025)

Merchant ID,Merchant,Transactions,Sales Amount,Income,Expenses,Net,BPS,%,Agent Net,Approval Date,Group 
820100009480,"ARKANSAS USA WRESTLING",0,0.00,25.00,15.22,9.78,0.00,0.00,0.00,03/29/2024,"CoCard 0827"
498434550881,"BILLY CLARK BAIL BONDS",0,0.00,50.00,19.13,30.87,0.00,0.00,0.00,02/09/2024,"CoCard 0827"
498431863881,"DEBOARD ELECTRONICS",52,46622.59,1012.63,953.29,59.34,0.13,0.00,0.00,01/17/2024,"CoCard 0827"
498459404881,"DIGITAL TECHNOLOGY GROUP",505,332282.10,8148.16,8069.79,78.37,0.02,0.00,0.00,09/05/2024,"CoCard 0914"
498792480887,"ENCORE AT LEWIS RANCH- E",0,0.00,25.06,16.64,8.42,0.00,0.00,0.00,02/26/2024,"CoCard 0827"
498792481885,"ENCORE AT LEWIS RANCH- O",0,0.00,25.06,16.64,8.42,0.00,0.00,0.00,02/26/2024,"CoCard 0827"
815209580886,"EOI DIRECT",5601,459719.10,10926.52,11135.41,-208.89,-0.05,0.00,0.00,01/17/2025,"CoCard 0827"
498431789888,"F&B COSMETICS LLC CLOSED",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/17/2024,"CoCard 0827"
820100010520,"FRANCESCO SWEETS",0,0.00,0.00,0.44,-0.44,0.00,0.00,0.00,04/23/2024,"CoCard 0827"
498450581885,"GALCO INDUSTRIAL ELECTRO",7253,3155988.00,60624.72,59826.65,798.07,0.03,0.00,0.00,06/21/2024,"CoCard 0827"
498433226889,"H&M DISTRIBUTION LLC CLOSED",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/29/2024,"CoCard 0827"
820100008433,"HWY 5 AUTO SALVAGE",88,17626.93,778.49,404.24,374.25,2.12,0.00,0.00,03/14/2024,"CoCard 0827"
820100010033,"ISLAND WOMENS HEALTH",24,4207.67,186.46,126.01,60.45,1.44,0.00,0.00,04/14/2024,"CoCard 0827"
820100008664,"ISLAND WOMENS HEALTH",0,0.00,25.00,7.35,17.65,0.00,0.00,0.00,03/19/2024,"CoCard 0827"
529808620113639,"KAYAK KINGS OF KEY WEST LLC",0,0.00,34.99,16.28,18.71,0.00,0.00,0.00,11/14/2024,"CoCard 0827"
529808620200584,"KEY WEST SCREAMING LINES CHARTER",5,2922.40,147.10,107.72,39.38,1.35,0.00,0.00,03/12/2024,"CoCard 0827"
820100008276,"MCCORMICK FAMILY DENTISTRY",215,36378.49,1144.40,816.54,327.86,0.90,0.00,0.00,03/12/2024,"CoCard 0827"
820100005272,"MEADOW CDJR",0,0.00,25.00,7.35,17.65,0.00,0.00,0.00,01/23/2024,"CoCard 0827"
498794241881,"MEADOWS CDJR",67,24443.67,585.72,571.78,13.94,0.06,0.00,0.00,05/14/2024,"CoCard 0827"
820100005306,"MEADOWS CHEVROLET",0,0.00,25.00,10.01,14.99,0.00,0.00,0.00,01/23/2024,"CoCard 0827"
498794240883,"MEADOWS CHEVROLET",97,46152.18,1226.63,965.64,260.99,0.57,0.00,0.00,05/14/2024,"CoCard 0827"
820100005280,"MEADOWS FORD",0,0.00,25.00,7.35,17.65,0.00,0.00,0.00,01/23/2024,"CoCard 0827"
498794242889,"MEADOWS FORD",95,48871.50,1288.35,969.98,318.37,0.65,0.00,0.00,05/14/2024,"CoCard 0827"
498459445884,"MOE GAS AND DIESEL",2363,42617.94,1830.31,1351.04,479.27,1.12,0.00,0.00,09/05/2024,"CoCard 0827"
820100008557,"R AND R OUTDOORS",46,3598.21,163.06,81.73,81.33,2.26,0.00,0.00,03/18/2024,"CoCard 0827"
529808620301036,"RANGERS EXCAVATION LLC",0,0.00,69.99,69.99,0.00,0.00,0.00,0.00,03/25/2024,"CoCard 0827"
529808620200618,"ROOFTOP CHIMNEY SERVICE",25,9633.82,350.70,271.59,79.11,0.82,0.00,0.00,07/24/2024,"CoCard 0827"
529808620112714,"RUN FOR RHONDA",0,0.00,0.00,8.51,-8.51,0.00,0.00,0.00,04/23/2024,"CoCard 0827"
498432734883,"SALTER PLUMBING",7,5836.75,191.68,167.25,24.43,0.42,0.00,0.00,01/24/2024,"CoCard 0827"
820100005405,SAVANNAHS,3299,111945.20,4345.63,2359.78,1985.85,1.77,0.00,0.00,01/25/2024,"CoCard 0827"
815201562882,"SCHRADER FUNERAL HOME IN",82,239634.80,5785.31,5672.19,113.12,0.05,0.00,0.00,05/31/2024,"CoCard 0827"
529808620112482,"SISTER SEASONS FUND",0,0.00,34.99,16.28,18.71,0.00,0.00,0.00,03/18/2024,"CoCard 0827"
815201648889,"THE FIELD HOUSE",297,14104.55,531.06,315.85,215.21,1.53,0.00,0.00,06/07/2024,"CoCard 0827"
498457467880,"THE PADRE HOTEL",2723,530622.40,14569.41,14315.19,254.22,0.05,0.00,0.00,08/20/2024,"CoCard 0827"
498457464887,"TOWER 23 HOTEL",632,461021.90,13309.24,13197.40,111.84,0.02,0.00,0.00,08/20/2024,"CoCard 0827"
820100013615,"TRINITY DEVELOPMENT COMPANY INC",0,0.00,25.00,7.35,17.65,0.00,0.00,0.00,06/14/2024,"CoCard 0827"
820100007880,UATAN,10,2878.81,122.35,69.09,53.26,1.85,0.00,0.00,03/12/2024,"CoCard 0827"
529808620112839,"WHEN IT COUNTS HOME INSPECTION",17,7038.00,150.75,183.93,-33.18,-0.47,0.00,0.00,05/29/2024,"CoCard 0827"
498435072885,"WOODARD CARPET & DESIGN",6,4144.93,159.41,42.23,117.18,2.83,0.00,0.00,02/14/2024,"CoCard 0827"
